site,url,date_time,domain_of_jobs,job_title,position,experience,location,salary,qualification_level
karir.com,/opportunities/1219306,2019-03-31 23:03:54,Layanan Pelanggan,CUSTOMER SERVICE CIREBON,,Setidaknya 0 tahun,Jawa Barat,IDR 2.000.000 - 2.900.000,Diploma Semuanya
karir.com,/opportunities/1219330,2019-03-31 23:03:58,Maintenance,RTFM Social Media Traveloka,,Setidaknya 1 tahun,Semarang,IDR 3.500.000 - 5.000.000,Diploma Semuanya
karir.com,/opportunities/1070395,2019-03-31 23:04:02,Penjualan dan Pemasaran,Marketing  Sidoarjo,,Setidaknya 0 tahun,Sidoarjo,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070312,2019-03-31 23:04:10,Kolektor,Kolektor Mojokerto,,Setidaknya 0 tahun,Mojokerto,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070319,2019-03-31 23:04:14,Penjualan dan Pemasaran,Account Officer,,Setidaknya 1 tahun,DKI-Jakarta,Gaji Kompetitif,"Sarjana/S1 Ilmu Komunikasi, Hubungan Internasional, Manajemen"
karir.com,/opportunities/1070322,2019-03-31 23:04:18,Kolektor,Field Collection Bogor,,Setidaknya 0 tahun,Bogor,IDR 3.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070325,2019-03-31 23:04:21,Penjualan dan Pemasaran,Credit Marketing Parung ,,Setidaknya 0 tahun,Bogor,IDR 3.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070326,2019-03-31 23:04:25,Kolektor,Kolektor Parung,,Setidaknya 0 tahun,Bogor,IDR 3.500.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070364,2019-03-31 23:04:29,Administrasi,Internship Administrative Assistant,,Setidaknya 0 tahun,DKI-Jakarta,IDR 0 - 1.875.000,SLTA Lainnya
karir.com,/opportunities/1070387,2019-03-31 23:04:32,Penjualan dan Pemasaran,Marketing Credit Executive Samarinda,,Setidaknya 0 tahun,Samarinda,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070388,2019-03-31 23:04:36,Penjualan dan Pemasaran,Marketing Credit Samarinda,,Setidaknya 0 tahun,Samarinda,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070389,2019-03-31 23:04:40,Kolektor,Kolektor Mojokerto,,Setidaknya 0 tahun,Mojokerto,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070390,2019-03-31 23:04:43,Kolektor,Collection Mojokerto,,Setidaknya 0 tahun,Mojokerto,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070391,2019-03-31 23:04:47,Kolektor,Field Collection Mojokerto,,Setidaknya 0 tahun,Mojokerto,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070392,2019-03-31 23:04:51,Kolektor,Field Collection Bogor,,Setidaknya 0 tahun,Bogor,IDR 3.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070393,2019-03-31 23:04:55,Kolektor,Collection Bogor,,Setidaknya 0 tahun,Bogor,IDR 3.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070394,2019-03-31 23:04:57,Penjualan dan Pemasaran,Marketing Credit Sidoarjo,,Setidaknya 0 tahun,Sidoarjo,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070310,2019-03-31 23:05:02,Penjualan dan Pemasaran,Marketing Credit Samarinda,,Setidaknya 0 tahun,Samarinda,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070177,2019-03-31 23:05:06,Kolektor,Field Collection Bogor,,Setidaknya 0 tahun,Bogor,IDR 3.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070172,2019-03-31 23:05:14,Penjualan dan Pemasaran,Marketing Credit Executive Samarinda,,Setidaknya 0 tahun,Samarinda,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070173,2019-03-31 23:05:18,Kolektor,Kolektor Mojokerto,,Setidaknya 0 tahun,Mojokerto,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070180,2019-03-31 23:05:22,Kolektor,Collection Bogor,,Setidaknya 0 tahun,Bogor,IDR 3.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070184,2019-03-31 23:05:26,Penjualan dan Pemasaran,Marketing Credit Sidoarjo,,Setidaknya 0 tahun,Sidoarjo,IDR 2.500.000 - 3.500.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070187,2019-03-31 23:05:31,Kolektor,Kolektor Sidoarjo,,Setidaknya 0 tahun,Sidoarjo,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070196,2019-03-31 23:05:35,Penjualan dan Pemasaran,Sales Supervisor - Singaraja,,Setidaknya 0 tahun,Bali,IDR 4.000.000 - 5.000.000,Sarjana/S1 Semuanya
karir.com,/opportunities/1070263,2019-03-31 23:05:39,Kolektor,Kolektor Mojokerto,,Setidaknya 0 tahun,Mojokerto,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070264,2019-03-31 23:05:43,Kolektor,Field Collection Mojokerto,,Setidaknya 0 tahun,Mojokerto,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070265,2019-03-31 23:05:48,Kolektor,Field Collection Bogor,,Setidaknya 0 tahun,Bogor,IDR 3.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070266,2019-03-31 23:05:51,Kolektor,Collection Bogor,,Setidaknya 0 tahun,Bogor,IDR 3.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070268,2019-03-31 23:05:55,Penjualan dan Pemasaran,Marketing Credit Sidoarjo,,Setidaknya 0 tahun,Sidoarjo,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070270,2019-03-31 23:05:59,Penjualan dan Pemasaran,Marketing Credit Executive Sidoarjo,,Setidaknya 0 tahun,Sidoarjo,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070309,2019-03-31 23:06:03,Penjualan dan Pemasaran,Marketing Credit Executive Samarinda,,Setidaknya 0 tahun,Samarinda,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070171,2019-03-31 23:06:07,Penjualan dan Pemasaran,Marketing Credit Executive Samarinda,,Setidaknya 0 tahun,Samarinda,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070584,2019-03-31 23:06:15,Penjualan dan Pemasaran,Marketing Credit Executive Balikpapan,,Setidaknya 0 tahun,Balikpapan,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070585,2019-03-31 23:06:18,Penjualan dan Pemasaran,Marketing Credit Executive Banda Aceh,,Setidaknya 0 tahun,Banda Aceh,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070586,2019-03-31 23:06:21,Penjualan dan Pemasaran,Marketing Credit Executive Batam,,Setidaknya 0 tahun,Batam,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070587,2019-03-31 23:06:26,Penjualan dan Pemasaran,Marketing Credit Executive Bekasi,,Setidaknya 0 tahun,Bekasi,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070588,2019-03-31 23:06:29,Penjualan dan Pemasaran,Marketing Credit Executive Bengkulu,,Setidaknya 0 tahun,Bengkulu,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070589,2019-03-31 23:06:33,Penjualan dan Pemasaran,Marketing Credit Executive Bima,,Setidaknya 0 tahun,Nusa Tenggara Barat,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070590,2019-03-31 23:06:36,Penjualan dan Pemasaran,Marketing Credit Executive Bogor,,Setidaknya 0 tahun,Bogor,IDR 3.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070591,2019-03-31 23:06:40,Penjualan dan Pemasaran,Marketing Credit Executive Bukittinggi,,Setidaknya 0 tahun,Bukittinggi,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070592,2019-03-31 23:06:43,Penjualan dan Pemasaran,Marketing Credit Executive Cibinong,,Setidaknya 0 tahun,Cibinong,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070593,2019-03-31 23:06:48,Penjualan dan Pemasaran,Marketing Credit Executive Cikarang,,Setidaknya 0 tahun,Cikarang,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070594,2019-03-31 23:06:52,Penjualan dan Pemasaran,Marketing Credit Executive Cirebon,,Setidaknya 0 tahun,Cirebon,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070595,2019-03-31 23:06:54,Penjualan dan Pemasaran,Marketing Credit Executive Dumai,,Setidaknya 0 tahun,Riau,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070596,2019-03-31 23:06:57,Penjualan dan Pemasaran,Marketing Credit Executive Gorontalo,,Setidaknya 0 tahun,Gorontalo,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070597,2019-03-31 23:07:01,Penjualan dan Pemasaran,Marketing Credit Executive Jakarta Barat Utara,,Setidaknya 0 tahun,Jakarta Barat,IDR 3.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070524,2019-03-31 23:07:06,Penjualan dan Pemasaran,Sales Surabaya,,Setidaknya 0 tahun,Surabaya,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
