url,job,jurusan,lulusan
/opportunities/1074129,Kolektor Balikpapan,Semuanya,"Apa Saja, SLTA, Sarjana/S1"
/opportunities/1074131,Kolektor Bima,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074132,Kolektor Bogor,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074133,Kolektor Bukittinggi,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074134,Kolektor Cibinong,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074135,Kolektor Cikarang,Seni Drama,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074136,Kolektor Cirebon,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074137,Kolektor Jakarta Barat Utara,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074119,Kolektor Lampung,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071085,Rider Stabat ,Semuanya,SLTA
/opportunities/1071084,Rider Pematang Siantar,Semuanya,SLTA
/opportunities/1071117,Rider Yogyakarta,Semuanya,SLTA
/opportunities/1071153,Driver Yogyakarta,Semuanya,SLTA
/opportunities/1071167,Internship Admin Group Facebook,Semuanya,"SLTA, Diploma"
/opportunities/1071197,Kolektor Langsa,Semuanya,"SLTA, Diploma"
/opportunities/1071198,Kolektor Idi Rayeuk,Semuanya,"SLTA, Diploma"
/opportunities/1071199,Marketing Credit Executive Langsa,Semuanya,"SLTA, Diploma"
/opportunities/1074113,Kolektor Blitar,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074114,Kolektor Mojosari,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074115,Kolektor Jombang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074116,Kolektor Bandung,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074117,Kolektor Denpasar,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074118,Kolektor Tangerang Selatan,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071082,Rider Maumere,Semuanya,SLTA
/opportunities/1071067,Rider Sibolga,Semuanya,SLTA
/opportunities/1071068,Rider Langsa,Semuanya,SLTA
/opportunities/1071069,Rider Balige,Semuanya,SLTA
/opportunities/1071070,Rider Lampung Selatan,Semuanya,SLTA
/opportunities/1071071,Rider Tanggamus,Semuanya,SLTA
/opportunities/1071072,Rider Prabumulih,Semuanya,SLTA
